node_id,zone_id,x_coord,y_coord,meso_link_id,lane_no,is_boundary
1115,,-111.9288816,33.4219383,3,2,
1116,,-111.928806,33.4219386,3,2,
1117,,-111.9287304,33.421939,3,2,
1118,,-111.9286548,33.4219393,3,2,
1119,,-111.9285792,33.4219396,3,2,
1120,,-111.9285036,33.42194,3,2,
1121,,-111.928428,33.4219403,3,2,
1122,,-111.9283525,33.4219406,3,2,
1123,,-111.9282769,33.421941,3,2,
1124,,-111.9282013,33.4219413,3,2,
1125,,-111.9281257,33.4219417,3,2,
1126,,-111.9280501,33.421942,3,2,
1127,,-111.9279745,33.4219423,3,2,
1128,,-111.9278989,33.4219427,3,2,
1129,,-111.9278233,33.421943,3,2,
1130,,-111.9277477,33.4219433,3,2,
1131,,-111.9276722,33.4219437,3,2,
1132,,-111.9275966,33.421944,3,2,
1133,,-111.927521,33.4219444,3,2,
1134,,-111.9274454,33.4219447,3,2,
1135,,-111.9273698,33.421945,3,2,
1136,,-111.9272942,33.4219454,3,2,
1137,,-111.9272186,33.4219457,3,2,
1138,,-111.927143,33.421946,3,2,
1139,,-111.9270674,33.4219464,3,2,
1140,,-111.9269919,33.4219467,3,2,
1141,,-111.9269163,33.4219471,3,2,
1142,,-111.9268407,33.4219474,3,2,
1143,,-111.9267651,33.4219477,3,2,
1144,,-111.9266895,33.4219481,3,2,
1145,,-111.9266139,33.4219484,3,2,
1146,,-111.9265383,33.4219487,3,2,
1147,,-111.9264627,33.4219491,3,2,
1148,2,-111.9325853,33.4218901,3,3,
1149,,-111.9325097,33.4218904,3,3,
1150,,-111.9324341,33.4218908,3,3,
1151,,-111.9323585,33.4218911,3,3,
1152,,-111.9322829,33.4218915,3,3,
1153,,-111.9322073,33.4218918,3,3,
1154,,-111.9321317,33.4218921,3,3,
1155,,-111.9320561,33.4218925,3,3,
1156,,-111.9319805,33.4218928,3,3,
1157,,-111.931905,33.4218932,3,3,
1158,,-111.9318294,33.4218935,3,3,
1159,,-111.9317538,33.4218938,3,3,
1160,,-111.9316782,33.4218942,3,3,
1161,,-111.9316026,33.4218945,3,3,
1162,,-111.931527,33.4218949,3,3,
1163,,-111.9314514,33.4218952,3,3,
1164,,-111.9313758,33.4218955,3,3,
1165,,-111.9313002,33.4218959,3,3,
1166,,-111.9312246,33.4218962,3,3,
1167,,-111.9311491,33.4218966,3,3,
1168,,-111.9310735,33.4218969,3,3,
1169,,-111.9309979,33.4218972,3,3,
1170,,-111.9309223,33.4218976,3,3,
1171,,-111.9308467,33.4218979,3,3,
1172,,-111.9307711,33.4218983,3,3,
1173,,-111.9306955,33.4218986,3,3,
1174,,-111.9306199,33.4218989,3,3,
1175,,-111.9305443,33.4218993,3,3,
1176,,-111.9304688,33.4218996,3,3,
1177,,-111.9303932,33.4218999,3,3,
1178,,-111.9303176,33.4219003,3,3,
1179,,-111.930242,33.4219006,3,3,
1180,,-111.9301664,33.421901,3,3,
1181,,-111.9300908,33.4219013,3,3,
1182,,-111.9300152,33.4219016,3,3,
1183,,-111.9299396,33.421902,3,3,
1184,,-111.929864,33.4219023,3,3,
1185,,-111.9297885,33.4219027,3,3,
1186,,-111.9297129,33.421903,3,3,
1187,,-111.9296373,33.4219033,3,3,
1188,,-111.9295617,33.4219037,3,3,
1189,,-111.9294861,33.421904,3,3,
1190,,-111.9294105,33.4219043,3,3,
1191,,-111.9293349,33.4219047,3,3,
1192,,-111.9292593,33.421905,3,3,
1193,,-111.9291837,33.4219054,3,3,
1194,,-111.9291082,33.4219057,3,3,
1195,,-111.9290326,33.421906,3,3,
1196,,-111.928957,33.4219064,3,3,
1197,,-111.9288814,33.4219067,3,3,
1198,,-111.9288058,33.4219071,3,3,
1199,,-111.9287302,33.4219074,3,3,
1200,,-111.9286546,33.4219077,3,3,
1201,,-111.928579,33.4219081,3,3,
1202,,-111.9285034,33.4219084,3,3,
1203,,-111.9284278,33.4219087,3,3,
1204,,-111.9283523,33.4219091,3,3,
1205,,-111.9282767,33.4219094,3,3,
1206,,-111.9282011,33.4219098,3,3,
1207,,-111.9281255,33.4219101,3,3,
1208,,-111.9280499,33.4219104,3,3,
1209,,-111.9279743,33.4219108,3,3,
1210,,-111.9278987,33.4219111,3,3,
1211,,-111.9278231,33.4219114,3,3,
1212,,-111.9277475,33.4219118,3,3,
1213,,-111.927672,33.4219121,3,3,
1214,,-111.9275964,33.4219125,3,3,
1215,,-111.9275208,33.4219128,3,3,
1216,,-111.9274452,33.4219131,3,3,
1217,,-111.9273696,33.4219135,3,3,
1218,,-111.927294,33.4219138,3,3,
1219,,-111.9272184,33.4219141,3,3,
1220,,-111.9271428,33.4219145,3,3,
1221,,-111.9270672,33.4219148,3,3,
1222,,-111.9269917,33.4219151,3,3,
1223,,-111.9269161,33.4219155,3,3,
1224,,-111.9268405,33.4219158,3,3,
1225,,-111.9267649,33.4219162,3,3,
1226,,-111.9266893,33.4219165,3,3,
1227,,-111.9266137,33.4219168,3,3,
1228,,-111.9265381,33.4219172,3,3,
1229,,-111.9264625,33.4219175,3,3,
1230,2,-111.9325851,33.4218585,3,4,
1231,,-111.9325095,33.4218589,3,4,
1232,,-111.9324339,33.4218592,3,4,
1233,,-111.9323583,33.4218596,3,4,
1234,,-111.9322827,33.4218599,3,4,
1235,,-111.9322071,33.4218602,3,4,
1236,,-111.9321315,33.4218606,3,4,
1237,,-111.9320559,33.4218609,3,4,
1238,,-111.9319803,33.4218613,3,4,
1239,,-111.9319048,33.4218616,3,4,
1240,,-111.9318292,33.4218619,3,4,
1241,,-111.9317536,33.4218623,3,4,
1242,,-111.931678,33.4218626,3,4,
1243,,-111.9316024,33.421863,3,4,
1244,,-111.9315268,33.4218633,3,4,
1245,,-111.9314512,33.4218636,3,4,
1246,,-111.9313756,33.421864,3,4,
1247,,-111.9313,33.4218643,3,4,
1248,,-111.9312244,33.4218646,3,4,
1249,,-111.9311489,33.421865,3,4,
1250,,-111.9310733,33.4218653,3,4,
1251,,-111.9309977,33.4218657,3,4,
1252,,-111.9309221,33.421866,3,4,
1253,,-111.9308465,33.4218663,3,4,
1254,,-111.9307709,33.4218667,3,4,
1255,,-111.9306953,33.421867,3,4,
1256,,-111.9306197,33.4218674,3,4,
1257,,-111.9305441,33.4218677,3,4,
1258,,-111.9304686,33.421868,3,4,
1259,,-111.930393,33.4218684,3,4,
1260,,-111.9303174,33.4218687,3,4,
1261,,-111.9302418,33.4218691,3,4,
1262,,-111.9301662,33.4218694,3,4,
1263,,-111.9300906,33.4218697,3,4,
1264,,-111.930015,33.4218701,3,4,
1265,,-111.9299394,33.4218704,3,4,
1266,,-111.9298638,33.4218708,3,4,
1267,,-111.9297883,33.4218711,3,4,
1268,,-111.9297127,33.4218714,3,4,
1269,,-111.9296371,33.4218718,3,4,
1270,,-111.9295615,33.4218721,3,4,
1271,,-111.9294859,33.4218724,3,4,
1272,,-111.9294103,33.4218728,3,4,
1273,,-111.9293347,33.4218731,3,4,
1274,,-111.9292591,33.4218735,3,4,
1275,,-111.9291835,33.4218738,3,4,
1276,,-111.929108,33.4218741,3,4,
1277,,-111.9290324,33.4218745,3,4,
1278,,-111.9289568,33.4218748,3,4,
1279,,-111.9288812,33.4218751,3,4,
1280,,-111.9288056,33.4218755,3,4,
1281,,-111.92873,33.4218758,3,4,
1282,,-111.9286544,33.4218762,3,4,
1283,,-111.9285788,33.4218765,3,4,
1284,,-111.9285032,33.4218768,3,4,
1285,,-111.9284276,33.4218772,3,4,
1286,,-111.9283521,33.4218775,3,4,
1287,,-111.9282765,33.4218778,3,4,
1288,,-111.9282009,33.4218782,3,4,
1289,,-111.9281253,33.4218785,3,4,
1290,,-111.9280497,33.4218789,3,4,
1291,,-111.9279741,33.4218792,3,4,
1292,,-111.9278985,33.4218795,3,4,
1293,,-111.9278229,33.4218799,3,4,
1294,,-111.9277473,33.4218802,3,4,
1295,,-111.9276718,33.4218805,3,4,
1296,,-111.9275962,33.4218809,3,4,
1297,,-111.9275206,33.4218812,3,4,
1298,,-111.927445,33.4218816,3,4,
1299,,-111.9273694,33.4218819,3,4,
1300,,-111.9272938,33.4218822,3,4,
1301,,-111.9272182,33.4218826,3,4,
1302,,-111.9271426,33.4218829,3,4,
1303,,-111.927067,33.4218832,3,4,
1304,,-111.9269915,33.4218836,3,4,
1305,,-111.9269159,33.4218839,3,4,
1306,,-111.9268403,33.4218843,3,4,
1307,,-111.9267647,33.4218846,3,4,
1308,,-111.9266891,33.4218849,3,4,
1309,,-111.9266135,33.4218853,3,4,
1310,,-111.9265379,33.4218856,3,4,
1311,,-111.9264623,33.4218859,3,4,
1312,,-111.9262532,33.4221392,4,1,
1313,,-111.9262531,33.4222027,4,1,
1314,,-111.926253,33.4222662,4,1,
1315,,-111.9262529,33.4223297,4,1,
1316,,-111.9262528,33.4223933,4,1,
1317,,-111.9262527,33.4224568,4,1,
1318,,-111.9262525,33.4225203,4,1,
1319,,-111.9262524,33.4225838,4,1,
1320,,-111.9262523,33.4226473,4,1,
1321,,-111.9262522,33.4227108,4,1,
1322,,-111.9262521,33.4227743,4,1,
1323,,-111.926252,33.4228378,4,1,
1324,,-111.9262519,33.4229014,4,1,
1325,,-111.9262518,33.4229649,4,1,
1326,,-111.9262517,33.4230284,4,1,
1327,,-111.9262516,33.4230919,4,1,
1328,,-111.9262515,33.4231554,4,1,
1329,,-111.9262514,33.4232189,4,1,
1330,,-111.9262513,33.4232824,4,1,
1331,,-111.9262512,33.4233459,4,1,
1332,,-111.9262511,33.4234095,4,1,
1333,,-111.926251,33.423473,4,1,
1334,,-111.9262508,33.4235365,4,1,
1335,,-111.9262507,33.4236,4,1,
1336,,-111.9262506,33.4236635,4,1,
1337,,-111.9262505,33.423727,4,1,
1338,,-111.9262504,33.4237905,4,1,
1339,,-111.9262503,33.423854,4,1,
1340,,-111.9262502,33.4239176,4,1,
1341,,-111.9262501,33.4239811,4,1,
1342,,-111.92625,33.4240446,4,1,
1343,,-111.9262499,33.4241081,4,1,
1344,,-111.9262498,33.4241716,4,1,
1345,,-111.9262497,33.4242351,4,1,
1346,,-111.9262496,33.4242986,4,1,
1347,,-111.9262495,33.4243621,4,1,
1348,,-111.9262494,33.4244257,4,1,
1349,,-111.9262493,33.4244892,4,1,
1350,,-111.9262491,33.4245527,4,1,
1351,,-111.926249,33.4246162,4,1,
1352,,-111.9262489,33.4246797,4,1,
1353,,-111.9262488,33.4247432,4,1,
1354,,-111.9262487,33.4248067,4,1,
1355,,-111.9262486,33.4248702,4,1,
1356,,-111.9262485,33.4249338,4,1,
1357,,-111.9262484,33.4249973,4,1,
1358,,-111.9262483,33.4250608,4,1,
1359,,-111.9262482,33.4251243,4,1,
1360,,-111.9262481,33.4251878,4,1,
1361,,-111.926248,33.4252513,4,1,
1362,,-111.9262479,33.4253148,4,1,
